Parts,Price
BULB ZA NWANGAKALI GN125.,       800
BULB ZA NWANGAKALI BM150 WHITE.,  850
BULB ZA NWANGAKALI BM150 BLUE COLOUR.,    1000
BULD DUNGU.,       500
BULB INDICATOR.,   100
BULB ZA NYUMA.,       170
BULB ZA NYUMA BADIRISHA RANGI.,      1300
