Name
8

"RADIO WITH KEY REMOTE SPIKA NDOGO. 20,000"

9

"RADIO WITH KEY REMOTE SPIKA KATI.  21,000"

10

RADIO WITH KEY REMOTE SPIKA KUBWA. 22000


11
"RADIO KAMA HOPERAY SPIKA NDOGO.  22,000"

12

"RADIO KAMA HOPERAY SPIKA KUBWA.  24,000"

13

"RADIO SCREEN SPIKA NDOGO. 23,000"

14

"RADIO BOTTON NYINGI SPIKA NDOGO.   21,000"

15

"RADIO MACHINE TUPU.  14,000 "

16

"CHAIN KIT COMPLETE GN125 MBARIKIWA. 13,000"
17
"CHAIN KIT GN125 ST.   12,000"

18

"CHAIN KIT TVSHLX MBARIKIWA .14,000"

19

SPROCKET SET GN125. 4800

20

SPROCKET SET CG125.  5000

21

FROM SPROCKET TVSHLX.   1000

22

HANDLE SWITCH KULIA. 3500

23

BLOCK GASKET CG.   150

24

ENGINE VALUE CG150. 1600

25

PACKING BULB  KAWAIDA .   90

26

DASHBOARD BULB KAWAIDA.      90

27

BULB PACKING RANGI.  250

28

MAINFORD  GN125.  1500

29

UZU WA MOTO GN NENE.  130

30

UZU WA MOTO BM150 NENE. 150

31

"SHOCKUP NYUMA GN125.    28,000"

32

CLUTCH GASKET BM150. 300

33

MAGNETO GASKET BM150.   250

34

BLOCK GASKET BM150.  200

35

BEARING 6000.     900

36

VIRAKA ZA TUBE KUBWA. 2000

37

VIRAKA ZA TUBE KATI. 1800

38

MKAA CARBURATOR GN.   300

40
" KIOO CHA UPEPU NDOGO.      12,000"



41
 COMPLETE OIL SEAL CG/ GN125.       900

42
  32*44*10_5  OIL SEAL.   800 SET

43

31*43*10_5   OIL SEAL.  800 SET

44

30*42*10_5 OIL SEAL. 1000 SET

45

30*40*10_5 OIL SEAL.   1000 SET 

46

20*34*7 OIL SEAL.  300 PIC

47

14*28*7 OIL SEAL. 300 PIC

48

16*28*7 OIL SEAL.   300 PIC 

49

34*50*7 OIL SEAL.     500 PIC


50

27*37*10_5  OIL SEAL.  800SET

51
20*35* 7 OIL SEAL GUTA. 500 PCS

52

6_5*14_5*7 RPM OIL SEAL.     250 PIC
  
53

12*22*9 OIL SEAL GEAR  BM.  400 PIC

54
22*35*7 OIL SEAL SPROCKET  BM . 400 PIC

55

42*55*7 OIL SEAL GUTA.  700 PIC

56
26*35*7 OIL SEAL . 500PIC

57

VALVE SEAL CG/GN    . 200 SET 

58

GASKET  HALF CG125 .  900

59

"MEKA NDOGO. 15,000 DOZEN"

60

"MEKA KUBWA. 25,000 DOZEN"

61

MEKA NDOGO SANA . 800PCS

62

"EPOXY ARLIDITE KUBWA.   25,000"

63

BRAKE PAD GN125. 1000
